Timestamp,Season,Temperature (°C),Humidity (%),Wind Speed (m/s),Sunlight (W/m²),Building Occupancy,Energy Tariff ($/kWh),Energy Consumption (kWh)
55:35.6,Winter,-0.39,61.35,8.23,327.1,152,0.1,14.35
55:35.6,Winter,2.9,78.14,16.24,662.59,116,0.18,19.94
55:35.6,Winter,3.21,62.7,14.79,644.25,129,0.27,20.07
55:35.6,Winter,5.72,58.85,13.77,208.61,17,0.16,17.6
55:35.6,Winter,2.81,75.25,19.97,180.07,22,0.19,17.78
55:35.6,Winter,0.3,61.87,13.79,721.23,29,0.14,19.61
55:35.6,Winter,6.8,37.91,10.49,938.28,14,0.07,12.22
55:35.6,Winter,6.68,71.09,8.23,86.94,30,0.09,12.03
55:35.6,Winter,8.42,31.39,9.97,597.51,26,0.12,18.86
55:35.6,Winter,5.82,35.03,1.04,897.48,12,0.12,14.15
55:35.6,Winter,2.12,56.04,2.35,903.09,27,0.06,8.95
55:35.6,Winter,-1.76,71.74,15.02,458.31,22,0.07,19.45
55:35.6,Winter,-2.4,41.71,7,762.23,14,0.08,19.04
55:35.6,Winter,2.23,45.68,10.76,416.62,25,0.07,18.54
55:35.6,Winter,2.98,57.63,12.96,915.97,15,0.12,15.78
55:35.6,Winter,-1.48,75.06,0.72,996.57,20,0.08,9.63
55:35.6,Winter,-2.26,60.43,7.22,168.09,144,0.26,18.41
55:35.6,Winter,6.56,72.9,2.63,569.14,130,0.24,13.86
55:35.6,Winter,8.42,53.77,8.88,613.28,173,0.23,15.13
55:35.6,Winter,-2.52,30.42,9.07,711.14,150,0.19,22.25
55:35.6,Winter,5.43,64.36,16.62,118.27,113,0.26,15.58
55:35.6,Winter,-1.61,73.74,5.48,892.58,196,0.14,14.66
55:35.6,Winter,3.29,33.29,1.3,563.83,199,0.2,20.06
55:35.6,Winter,-2.96,66.79,0.05,724.43,170,0.3,19.72
55:35.6,Winter,2.36,78.12,5.22,228.54,84,0.27,15.95
55:35.6,Winter,4.89,66.17,15.92,496.11,167,0.17,21.7
55:35.6,Winter,-1.71,47.08,15.89,322.14,153,0.26,22.02
55:35.6,Winter,9.75,44.53,12.78,510.45,12,0.29,9.79
55:35.6,Winter,4.55,58.8,18.39,611.85,15,0.28,18.15
55:35.6,Winter,8.31,55.71,14.89,682.31,23,0.11,15.93
55:35.6,Winter,4.14,69.08,16,502.73,26,0.14,17.25
55:35.6,Winter,1.79,72.36,7.88,795.05,18,0.05,14.71
55:35.6,Winter,-4.91,50.59,12.71,123.51,18,0.14,20.37
55:35.6,Winter,6.8,34.32,16.81,741.79,16,0.07,18.28
55:35.6,Winter,-3,41.6,18.03,437.07,20,0.1,13.72
55:35.6,Winter,5.29,79.46,2.91,214.32,13,0.11,14.18
55:35.6,Winter,-2.12,59.93,18.32,801.41,30,0.11,18.55
55:35.6,Winter,-3.93,39.05,1.35,35.25,7,0.12,12.36
55:35.6,Winter,6.05,60.11,8.88,271.36,11,0.14,9.58
55:35.6,Winter,-0.68,64.58,0.59,974.44,21,0.09,10.72
55:35.6,Winter,-4.89,53.89,16.51,557.53,169,0.17,20.92
55:35.6,Winter,8.7,39.46,4.07,97.06,158,0.15,24.23
55:35.6,Winter,7.07,68.2,18.59,889.11,90,0.16,16.79
55:35.6,Winter,5.91,40.66,19.84,155.75,93,0.11,19.91
55:35.6,Winter,-2.99,34.34,6.63,394.19,103,0.24,14.08
55:35.6,Winter,3.83,58.89,9.14,402.15,105,0.27,13.96
55:35.6,Winter,5.95,30.41,5.59,29.72,102,0.25,17.92
55:35.6,Winter,-4.36,42.04,2.59,364.89,196,0.17,20.84
55:35.6,Winter,-2.07,49.74,1,18.82,71,0.13,16.72
55:35.6,Winter,3.98,62.48,1.86,492.74,157,0.22,16.48
55:35.6,Winter,0.45,48.65,8.64,700.93,130,0.12,21.36
55:35.6,Winter,-2.22,66.96,14.32,569.14,21,0.2,19.35
55:35.6,Winter,3.86,74.21,16.38,936.08,18,0.28,16.26
55:35.6,Winter,5.67,70.26,11.59,997.67,13,0.09,10.06
55:35.6,Winter,-1.24,58.25,11.33,157.45,29,0.07,12.45
55:35.6,Winter,9.04,77.99,14.11,548.12,12,0.07,13.9
55:35.6,Winter,-2.26,58.34,2.4,448.49,10,0.14,16.79
55:35.6,Winter,-1.33,62.7,18.38,1.27,20,0.11,17.06
55:35.6,Winter,-2.69,34.92,14.05,82.22,14,0.14,14.96
55:35.6,Winter,9.01,58.07,12.77,639.12,15,0.14,9.39
55:35.6,Winter,-2.14,56.42,12.06,511.32,28,0.13,19.11
55:35.6,Winter,0.62,41.82,19.91,575.54,26,0.1,17.61
55:35.6,Winter,6.62,66.77,12.15,475.78,29,0.06,9.73
55:35.6,Winter,1.91,43.09,4.23,139.2,28,0.14,15.06
55:35.6,Winter,8.95,62.13,6.45,278.18,191,0.21,22
55:35.6,Winter,-2.22,35.31,19.15,576.32,86,0.29,21.48
55:35.6,Winter,4,46.1,9.8,195.47,74,0.27,12.96
55:35.6,Winter,-3.29,41.55,9.25,270.21,91,0.21,20.35
55:35.6,Winter,7.56,37.09,1.75,739.01,178,0.2,15.74
55:35.6,Winter,2.68,42.95,4.8,156.14,150,0.21,18.65
55:35.6,Winter,7.36,69.22,11.98,409.49,51,0.16,20.61
55:35.6,Winter,8.52,69.58,5.44,514.98,111,0.19,18.66
55:35.6,Winter,2.13,51.81,12.77,400.23,65,0.23,12.53
55:35.6,Winter,-2.66,57.64,8.02,651.72,189,0.29,22.2
55:35.6,Winter,-3.7,65.51,18.23,266.25,118,0.3,16.31
55:35.6,Winter,8.59,32.77,0.3,544.06,7,0.24,18.11
55:35.6,Winter,-4.01,62.75,0.92,465.66,10,0.11,22.16
55:35.6,Winter,4.63,36.54,13.54,997.49,20,0.07,11.83
55:35.6,Winter,4.06,71.29,13.18,102.51,5,0.12,21.38
55:35.6,Winter,9.5,33.37,5.43,644.12,22,0.13,11.22
55:35.6,Winter,8.62,72.31,10.69,241.27,21,0.12,10.71
55:35.6,Winter,4.37,36.44,1.15,24.32,22,0.09,14.71
55:35.6,Winter,-3.39,41.11,0.36,961.99,14,0.14,19.07
55:35.6,Winter,-3.28,70.37,18.33,134.37,35,0.12,22.31
55:35.6,Winter,5.96,44.22,8.28,248.81,6,0.1,16.21
55:35.6,Winter,-0.72,31.04,7.09,706.83,49,0.06,17.85
55:35.6,Winter,0.95,56.31,8.24,598.81,7,0.1,20.62
55:35.6,Winter,2.4,73.33,3.28,156.41,19,0.13,18.96
55:35.6,Winter,4.94,54.84,16.35,632.84,10,0.16,17.26
55:35.6,Winter,7.89,54.14,14.68,910.77,41,0.15,18.57
55:35.6,Winter,3.81,68.8,4.14,784.33,40,0.19,17.96
55:35.6,Winter,6.81,74.99,16.88,381.7,36,0.28,17.68
55:35.6,Winter,-4.05,40.59,5.14,387.77,24,0.23,17.54
55:35.6,Winter,7.45,33.2,4.82,772.01,13,0.2,10.75
55:35.6,Winter,5.51,63.48,6,860.44,49,0.28,10.88
55:35.6,Winter,0.93,54.18,11.74,39.03,12,0.24,19.37
55:35.6,Winter,4.25,35.37,1.86,849.7,25,0.27,19.42
55:35.6,Winter,4.69,58.13,17.1,572.71,5,0.29,15.14
55:35.6,Winter,-3.96,58.54,19.25,404.37,39,0.22,16.5
55:35.6,Winter,7.06,36.11,11.01,797.88,31,0.27,17.83
55:35.6,Winter,7.46,58.13,1.62,445.14,21,0.19,10.55
55:35.6,Winter,-4.03,59.95,10.01,769.17,7,0.12,11.96
55:35.6,Winter,-0.45,57.58,6.95,4.96,44,0.11,22.13
55:35.6,Winter,-3.88,56.24,3.22,283.64,32,0.06,19.13
55:35.6,Winter,-2.16,79.63,9.13,309.89,28,0.06,21.54
55:35.6,Winter,2.12,59.61,8.64,692.78,41,0.06,21.16
55:35.6,Winter,-2.63,57.36,6.99,397.6,28,0.13,14.06
55:35.6,Winter,2.77,45.63,12.23,814.21,44,0.09,14.8
55:35.6,Winter,7.99,30.8,9.94,217.88,43,0.1,10.98
55:35.6,Winter,2.72,43.09,5.83,41.08,33,0.14,15.73
55:35.6,Winter,7.15,61.14,7.13,208.76,44,0.08,15.42
55:35.6,Winter,7.46,65.9,13.22,971.49,8,0.11,14.17
55:35.6,Winter,4.54,35.07,15.52,25.14,9,0.24,20.84
55:35.6,Winter,-4.55,63.65,6.24,926.96,47,0.21,15.48
55:35.6,Winter,7.54,77.24,13.94,845.09,45,0.13,13.07
55:35.6,Winter,4.78,69.71,7.77,24.41,11,0.14,11.83
55:35.6,Winter,6.12,75.61,17.43,250.64,48,0.19,20.29
55:35.6,Winter,4.32,48,7.98,557.26,45,0.19,14.85
55:35.6,Winter,-4.81,77.14,13.01,173.15,30,0.12,16
55:35.6,Winter,-1.44,73.42,13.78,977.24,19,0.12,13.4
55:35.6,Winter,7.03,55.32,18.46,241.37,6,0.11,11.26
55:35.6,Winter,-1.42,59.94,18.39,982.75,21,0.22,20.18
55:35.6,Winter,-4.65,41.18,18.04,360.53,25,0.15,18.41
55:35.6,Winter,5.22,62.52,8.63,606.3,42,0.21,12.45
55:35.6,Winter,-4.19,41.67,3.79,626,22,0.28,20.01
55:35.6,Winter,-4.75,52.11,1.31,662.65,33,0.13,19.74
55:35.6,Winter,-1.12,40.61,9.31,845.27,39,0.06,18.75
55:35.6,Winter,5.25,36.83,12.34,890.78,43,0.08,9.78
55:35.6,Winter,2.53,50.31,7.09,592.56,6,0.1,11.71
55:35.6,Winter,3.97,55.08,3.03,792.42,10,0.07,17
55:35.6,Winter,9.77,69.77,17.52,595.73,21,0.08,15.42
55:35.6,Winter,-3.55,65.88,3.85,967.7,9,0.11,12.94
55:35.6,Winter,7.85,58.61,14.51,366.32,19,0.09,8.87
55:35.6,Winter,-3.02,39.15,18.5,825.21,6,0.09,20.16
55:35.6,Winter,-4.39,50.96,14.92,150.85,22,0.08,12.28
55:35.6,Winter,5.43,53.33,11.05,641.17,14,0.15,11.95
55:35.6,Winter,-2.69,42.61,6.22,905.35,164,0.16,16.71
55:35.6,Winter,9.12,38.94,0.7,903.99,104,0.23,15.89
55:35.6,Winter,8.6,79.24,13.35,123.51,142,0.28,18.02
55:35.6,Winter,1.58,51.34,0.82,694,79,0.15,20.61
55:35.6,Winter,-1.95,38,3.75,651.97,185,0.19,14.42
55:35.6,Winter,1.8,65.61,7.22,531.29,165,0.24,18.94
55:35.6,Winter,-0.45,51.11,17.87,292.62,72,0.16,16.95
55:35.6,Winter,1.84,77.83,13.31,719.32,100,0.13,20.21
55:35.6,Winter,-4.06,38.88,0.47,11.09,165,0.14,24.73
55:35.6,Winter,-3,43.8,17.72,743.59,56,0.21,17.62
55:35.6,Winter,-1.77,36.03,12.64,209.24,193,0.14,19.06
55:35.6,Winter,3.32,60.55,6.62,873.02,25,0.13,18.69
55:35.6,Winter,2.91,38.08,9.53,329.53,27,0.21,21.94
55:35.6,Winter,4.11,46.52,14.23,890.68,7,0.12,10.71
55:35.6,Winter,4.29,59.05,14.85,117.23,29,0.14,16.66
55:35.6,Winter,2.62,61.98,5.33,997.72,11,0.11,10.5
55:35.6,Winter,0.01,68.79,10.17,179.44,20,0.08,15.3
55:35.6,Winter,-2.21,73.69,6.62,658.91,26,0.14,13.56
55:35.6,Winter,-3.2,47.87,7.63,420.99,30,0.12,22.14
55:35.6,Winter,9.69,30.17,9.89,638.82,17,0.13,15.49
55:35.6,Winter,5.65,44.59,17.58,769.69,30,0.09,16.36
55:35.6,Winter,4.55,38.68,8.45,901.14,19,0.14,10.22
55:35.6,Winter,1.3,33.82,11.8,402.73,26,0.14,14.31
55:35.6,Winter,-3.05,49.38,15.07,728.5,20,0.12,10.76
55:35.6,Winter,7.14,53.95,3.6,790.12,144,0.28,16.92
55:35.6,Winter,2.92,47.95,14.24,303.59,190,0.14,16.35
55:35.6,Winter,3.94,58.29,12.05,406.52,140,0.16,18.28
55:35.6,Winter,-3.07,69.83,19.87,582.78,71,0.29,23.14
55:35.6,Winter,-3.65,53.93,7.17,358.21,156,0.1,21.33
55:35.6,Winter,-4.88,57.53,8.13,584.64,98,0.19,15.64
55:35.6,Winter,8.21,52.02,16.1,73.58,112,0.13,17.45
55:35.6,Winter,-2.85,50.07,4.5,653.58,170,0.27,19.13
55:35.6,Winter,8.99,61.14,9.43,714.52,93,0.12,9.43
55:35.6,Winter,5.54,63.51,17.77,758.99,166,0.16,17.06
55:35.6,Winter,-4.61,52.18,9.49,727.23,197,0.22,24.73
55:35.6,Winter,0.71,33.61,1.62,833.06,30,0.25,16.3
55:35.6,Winter,2.53,69.23,19.58,393.59,28,0.27,13.5
55:35.6,Winter,7.86,74.93,19.16,814.04,9,0.14,17.02
55:35.6,Winter,6.78,63.01,13.19,18.4,21,0.07,18.74
55:35.6,Winter,7.88,66.94,16.99,359.85,18,0.09,16.53
55:35.6,Winter,6.26,37.38,9.9,422.53,16,0.11,15.59
55:35.6,Winter,-2.78,37.91,0.42,958.39,10,0.12,17.5
55:35.6,Winter,8.25,62.73,10.21,859.32,21,0.11,19.25
55:35.6,Winter,4,59.02,12.76,573.32,19,0.06,11.08
55:35.6,Winter,4.35,71.13,9.33,966.09,18,0.15,15.73
55:35.6,Winter,9.61,64.79,1.81,943.34,5,0.06,8.45
55:35.6,Winter,-1.43,54.71,16.2,789.32,12,0.08,10.38
55:35.6,Winter,1.14,45.49,5.26,637.34,29,0.13,13.55
55:35.6,Winter,5.28,48.08,5.11,673.83,182,0.28,17.65
55:35.6,Winter,6.58,47.86,7.57,424.21,145,0.2,20.35
55:35.6,Winter,6.11,32.28,19.88,266.47,123,0.12,11.74
55:35.6,Winter,-2.63,50.15,4.98,487.85,153,0.29,16.57
55:35.6,Winter,-1.45,49.49,6.79,740.1,125,0.25,17.46
55:35.6,Winter,6.08,36.63,8.76,782.32,187,0.19,14.82
55:35.6,Winter,5.33,37.99,11.82,715.39,153,0.16,16.39
55:35.6,Winter,-1.29,56.17,19.23,926.05,188,0.23,21.47
55:35.6,Winter,5.61,48.75,0.44,492.87,110,0.16,19.92
55:35.6,Winter,-2.73,44.39,16.91,226.37,96,0.12,19.87
55:35.6,Winter,4.47,52.47,11.24,425.93,176,0.15,20.77
55:35.6,Winter,5.05,34.58,16.16,899.56,14,0.13,11.93
55:35.6,Winter,-1.3,68.24,13.07,24.95,21,0.11,22.13
55:35.6,Winter,4.42,75.27,11.02,676.57,29,0.12,14.44
55:35.6,Winter,-1.71,47.41,15.16,54.58,20,0.07,19.01
55:35.6,Winter,0.94,77.46,6.36,90.13,9,0.08,11.02
55:35.6,Winter,-3.15,35.19,15.16,262.28,24,0.15,19.71
55:35.6,Winter,-0.37,38.6,1.84,100.88,12,0.13,21.84
55:35.6,Winter,9.79,34.02,0.81,913.25,29,0.14,13.84
55:35.6,Winter,-2.5,70.62,5.65,86.02,23,0.11,17.78
55:35.6,Winter,-2.62,45.62,19.06,15.08,24,0.14,23.6
55:35.6,Winter,7.27,50.24,10.92,689.28,18,0.12,16.97
55:35.6,Winter,8.42,38.45,16.18,201.29,27,0.07,9.94
55:35.6,Winter,0.9,57.38,14.44,5.56,22,0.06,19.58
55:35.6,Winter,-4.18,70.98,8.28,869.6,129,0.27,17.61
55:35.6,Winter,4.23,40.54,9.31,989.88,85,0.16,16.17
55:35.6,Winter,-1.81,78.07,12.12,305.89,192,0.11,24.59
55:35.6,Winter,-1.88,44.53,2.79,375.74,96,0.14,12.9
55:35.6,Winter,5.17,42.06,13.93,286.92,140,0.29,15.72
55:35.6,Winter,7.8,50.08,7.43,192.53,103,0.17,11.95
55:35.6,Winter,-4.25,35.63,14.97,361.41,105,0.14,23.57
55:35.6,Winter,2.34,49.57,17.98,921.09,104,0.16,16.48
55:35.6,Winter,9.79,30.44,11.44,391.53,55,0.28,11.56
55:35.6,Winter,0.01,51.31,16.88,768.13,75,0.16,18.5
55:35.6,Winter,2.92,63.09,12.96,84.14,59,0.12,14.03
55:35.6,Winter,3.74,57.59,9.4,884.79,23,0.12,9.79
55:35.6,Winter,6.45,48.8,0.64,111.57,16,0.23,15.38
55:35.6,Winter,1.05,71.59,17.88,964.93,25,0.14,12.45
55:35.6,Winter,9.24,61.69,15.64,131.35,28,0.12,19.01
55:35.6,Winter,5.11,64.4,5.75,832.96,15,0.12,10.67
55:35.6,Winter,1.66,50.21,11.63,183,24,0.06,11.12
55:35.6,Winter,-3.03,66.27,11.46,731.2,19,0.06,16.64
55:35.6,Winter,1.92,70.36,17.09,299.08,20,0.11,16.97
55:35.6,Winter,9.53,39.27,1.29,713.82,29,0.12,14.65
55:35.6,Winter,6.47,40.63,4.42,933.34,13,0.09,13.01
55:35.6,Winter,5.5,35,10.22,739.04,17,0.11,10.07
55:35.6,Winter,-3.59,54.77,17.32,496.22,23,0.07,17.15
55:35.6,Winter,-0.3,57.82,4.01,113.34,14,0.07,18.69
55:35.6,Winter,4.58,71.16,6.47,658.78,118,0.2,19.34
55:35.6,Winter,4.86,66.41,15.74,462.6,189,0.14,22.04
55:35.6,Winter,0.71,38.39,14.41,408.98,194,0.19,22.08
55:35.6,Winter,3.16,36.28,14.86,707.36,124,0.14,19.35
55:35.6,Winter,-0.37,51.69,6.33,910.24,106,0.17,14.3
55:35.6,Winter,3.81,69.86,18.64,405.6,136,0.16,20.19
55:35.6,Winter,0.93,54,12.96,467.35,190,0.3,22.1
55:35.6,Winter,-2.34,49.76,12.69,550.14,136,0.11,16.21
55:35.6,Winter,7.78,71.05,5.93,445.63,185,0.16,18.91
55:35.6,Winter,5.93,42.63,15.83,460.37,53,0.16,16.85
55:35.6,Winter,1.69,53.22,16.8,260.8,92,0.12,17.48
55:35.6,Winter,2.4,66.49,19.1,340.68,15,0.29,15.83
55:35.6,Winter,-2.97,31.9,1.33,25.26,22,0.14,16.76
55:35.6,Winter,-1.98,44.17,16.8,802.74,20,0.14,17.17
55:35.6,Winter,3.78,50.99,18.39,451.89,18,0.09,11.37
55:35.6,Winter,2.25,61.26,9.26,102.18,13,0.07,16.81
55:35.6,Winter,4.15,39.55,18.62,889.76,39,0.08,11.79
55:35.6,Winter,9.74,58.91,0.54,500.71,36,0.12,9.81
55:35.6,Winter,9.25,79.75,9.16,192.56,6,0.1,18.62
55:35.6,Winter,-4.67,62.41,5.19,389.22,5,0.15,14.77
55:35.6,Winter,3.66,32.36,1.44,614.88,47,0.08,16.01
55:35.6,Winter,6.75,54.38,10.39,735.97,12,0.11,8.38
55:35.6,Winter,4.38,69.7,6.63,716.05,26,0.13,15.64
55:35.6,Winter,1.22,76.85,9.1,54.77,33,0.08,20.33
55:35.6,Winter,-1.19,42.95,0.28,830.46,38,0.1,10.68
